,CharacterName,WikiLink
0,Abomination,Abomination (character)
1,Absorbing Man,Absorbing Man
2,Abraxas,
3,Abyss,
4,Access,
5,Achebe,Achebe (comics)
6,Adam,
7,Adam X,
8,Aegis,
9,Aero,
10,Aftershock,
11,Agamemnon,
12,Agamotto,
13,Agent,Agent (comics)
14,Agent X,Agent X (Marvel Comics)
15,Aginar,
16,Agony,
17,Ahab,
18,Ai Apaec,
19,AIDA,
20,Aireo,
21,Airstrike,Dmitri Bukharin
22,Air-Walker,Air-Walker
23,Albert,
24,Alchemy,
25,Alex,
26,Abdul Alhazred,
27,Alkhema,
28,All-American,
29,Liz Allan,Liz Allan
30,Allatou,
31,Alpha,
32,Alpha the Ultimate Mutant,
33,Marlene Alraune,
34,Amatsu-Mikaboshi,Amatsu-Mikaboshi (comics)
35,American Ace,
36,American Dream,American Dream (comics)
37,American Eagle,American Eagle (Marvel Comics)
38,Americop,
39,Amphibian,
40,Amphibion,
41,Amphibius,
42,Anachronism,
43,Anaconda,Anaconda (comics)
44,Anarchist,X-Statix
45,Anansi,
46,Ancient One,Ancient One
47,Andromeda,Andromeda (Marvel Comics)
48,Anelle,
49,Angar the Screamer,
50,Angel,Angel (Thomas Halloway)
51,Angel Dust,Angel Dust (comics)
52,Angela,Angela (comics)
53,Dirk Anger,Dirk Anger
54,Ani-Mator,Ani-Mator
55,Annex,Annex (comics)
56,Annihilus,Annihilus
57,Anole,Anole (comics)
58,Answer,
59,Anthem,Anthem (comics)
60,Ant-Man,Ant-Man
61,Anti-Venom,Anti-Venom (symbiote)
62,Apache Kid,Apache Kid (comics)
63,Ape-Man,Ani-Men#Original Ani-Men
64,Ape-X,
65,Apocalypse,Apocalypse (comics)
66,Apollo,Apollo (Marvel Comics)
67,Aquarius,
68,Aqueduct,Aqueduct (comics)
69,Arabian Knight,Arabian Knight (comics)
70,Aragorn,Aragorn (comics)
71,Arakko,
72,Arcade,Arcade (Marvel Comics)
73,Arcanna,
74,Arclight,Arclight (comics)
75,Ares,Ares (Marvel Comics)
76,Ariel 11,
77,Aries,Aries (comics)
78,Arkon,Arkon
79,Armadillo,Armadillo (comics)
80,Armless Tiger Man,
81,Armor,Armor (comics)
82,Armory,
83,Aron,
84,Arsenal,Arsenal (Marvel Comics)
85,Arsenic,Gertrude Yorkes
86,Artemis,
87,Asbestos Man,Asbestos Man
88,Mike Asher,Mike Asher
89,Asp,Asp (comics)
90,Astra,
91,Vance Astro,Vance Astro
92,Astronomer,Elders of the Universe
93,Atalanta,Atalanta (Pantheon)
94,Athena,Athena (Marvel Comics)
95,Atlas,Erik Josten
96,Attuma,Attuma
97,Atum,
98,Auran,
99,Aurora,Aurora (comics)
100,Avalanche,Avalanche (comics)
101,Avoe,
102,Awesome Android,Awesome Android
103,Azazel,Azazel (Marvel Comics)
104,Azzuri,Azzuri (comics)
105,Nakia Bahadir,
106,Bakuto,
107,Balthazar,
108,Martine Bancroft,
109,Bruce Banner,Bruce Banner
110,Rebecca Banner,Rebecca Banner
111,Brian Banner,Brian Banner
112,Bantam,
113,Eli Bard,
114,Baron Blood,Baron Blood
115,Baron Brimstone,Baron Brimstone
116,Baron Mordo,Baron Mordo
117,Baron Zemo,Baron Zemo
118,Barracuda,Barracuda (comics)
119,Barrage,Dark Riders (comics)
120,Turk Barrett,Turk Barrett
121,Breeze Barton,Breeze Barton
122,Basilisk,
123,Bast,Bast (Marvel Comics)
124,Bastion,Bastion (comics)
125,Batroc the Leaper,Batroc the Leaper
126,Battleaxe,
127,Battlestar,Battlestar (comics)
128,Batwing,Batwing (Marvel Comics)
129,Baymax,Baymax
130,Beast,Beast (comics)
131,Beautiful Dreamer,Beautiful Dreamer (Marvel Comics)
132,Bedlam,Bedlam (comics)
133,Beef,Beef (comics)
134,Beetle,Beetle (comics)
135,Bela,Bela (comics)
136,Belasco,Belasco (Marvel Comics)
137,Bella Donna,Bella Donna (comics)
138,Bengal,Bengal (comics)
139,Dexter Bennett,Dexter Bennett
140,Bereet,Bereet
141,Berzerker,Berzerker (comics)
142,Beta Ray Bill,Beta Ray Bill
143,Beyonder,Beyonder
144,Bi-Beast,Bi-Beast
145,Big Bertha,Big Bertha (comics)
146,Big Man,Big Man (comics)
147,Big Wheel,Big Wheel (comics)
148,Baxter Bigelow,
149,Bird-Brain,Bird-Brain (Marvel Comics)
150,Bird-Man,Bird-Man
151,Bishop,Bishop (Marvel Comics)
152,Derek Bishop,
153,Eleanor Bishop,
154,Bison,Bison (comics)
155,Black Ant,Eric O'Grady#Black Ant
156,Black Bolt,Black Bolt
157,Black Box,Black Box (comics)
158,Black Cat,Black Cat (Marvel Comics)
159,Black Crow,Black Crow (comics)
160,Black Dwarf,
161,Black Fox,Black Fox (Raul Chalmers)
162,"""Black"" Jack Tarr",Black Jack Tarr
163,Black Knight,Black Knight (comics)
164,Black Mamba,Black Mamba (comics)
165,Black Marvel,Black Marvel
166,Black Panther,Black Panther (character)|T'Challa (Marvel Cinematic Universe)
167,Black Racer,Black Racer (Marvel Comics)
168,Black Rider,Black Rider (comics)
169,Black Spectre,Black Spectre (Carson Knowles)
170,Black Swan,Black Swan (comics)
171,Black Talon,Black Talon (comics)
