,CharacterName,WikiLink,universe,woman,man,good,bad
0,Abomination,Abomination (character),Marvel,0,1,0,1
1,Absorbing Man,Absorbing Man,Marvel,0,1,0,1
2,Achebe,Achebe (comics),Marvel,0,0,0,0
3,Agent,Agent (comics),Marvel,0,1,1,0
4,Agent X,Agent X (Marvel Comics),Marvel,0,1,1,0
5,Airstrike,Dmitri Bukharin,Marvel,0,0,0,0
6,Air-Walker,Air-Walker,Marvel,0,1,0,1
7,Liz Allan,Liz Allan,Marvel,0,0,0,0
8,Amatsu-Mikaboshi,Amatsu-Mikaboshi (comics),Marvel,0,0,0,0
9,American Dream,American Dream (comics),Marvel,0,0,0,0
10,American Eagle,American Eagle (Marvel Comics),Marvel,0,1,1,0
11,Anaconda,Anaconda (comics),Marvel,0,0,0,0
12,Anarchist,X-Statix,Marvel,0,0,1,0
13,Ancient One,Ancient One,Marvel,0,0,0,0
14,Andromeda,Andromeda (Marvel Comics),Marvel,0,0,0,0
15,Angel,Angel (Thomas Halloway),Marvel,0,1,1,0
16,Angel Dust,Angel Dust (comics),Marvel,1,0,1,0
17,Angela,Angela (comics),Marvel,1,0,0,1
18,Dirk Anger,Dirk Anger,Marvel,0,0,0,0
19,Ani-Mator,Ani-Mator,Marvel,0,0,0,0
20,Annex,Annex (comics),Marvel,0,0,0,0
21,Annihilus,Annihilus,Marvel,0,1,0,1
22,Anole,Anole (comics),Marvel,0,0,0,0
23,Anthem,Anthem (comics),Marvel,0,0,0,0
24,Ant-Man,Ant-Man,Marvel,0,1,1,0
25,Anti-Venom,Anti-Venom (symbiote),Marvel,0,1,1,0
26,Apache Kid,Apache Kid (comics),Marvel,0,0,0,0
27,Ape-Man,Ani-Men#Original Ani-Men,Marvel,0,0,0,0
28,Apocalypse,Apocalypse (comics),Marvel,0,1,0,1
29,Apollo,Apollo (Marvel Comics),Marvel,0,0,0,0
30,Aqueduct,Aqueduct (comics),Marvel,0,0,0,0
31,Arabian Knight,Arabian Knight (comics),Marvel,0,0,0,0
32,Aragorn,Aragorn (comics),Marvel,0,0,0,0
33,Arcade,Arcade (Marvel Comics),Marvel,0,1,0,1
34,Arclight,Arclight (comics),Marvel,1,0,0,1
35,Ares,Ares (Marvel Comics),Marvel,0,1,1,0
36,Aries,Aries (comics),Marvel,0,0,0,1
37,Arkon,Arkon,Marvel,0,0,0,0
38,Armadillo,Armadillo (comics),Marvel,0,1,0,1
39,Armor,Armor (comics),Marvel,1,0,1,0
40,Arsenal,Arsenal (Marvel Comics),Marvel,0,1,1,0
41,Arsenic,Gertrude Yorkes,Marvel,1,0,1,0
42,Asbestos Man,Asbestos Man,Marvel,0,1,0,1
43,Mike Asher,Mike Asher,Marvel,0,0,0,0
44,Asp,Asp (comics),Marvel,0,0,0,0
45,Vance Astro,Vance Astro,Marvel,0,1,1,0
46,Astronomer,Elders of the Universe,Marvel,0,0,0,0
47,Atalanta,Atalanta (Pantheon),Marvel,0,0,0,0
48,Athena,Athena (Marvel Comics),Marvel,0,0,0,0
49,Atlas,Erik Josten,Marvel,0,1,0,1
50,Attuma,Attuma,Marvel,0,0,0,0
51,Aurora,Aurora (comics),Marvel,1,0,1,0
52,Avalanche,Avalanche (comics),Marvel,0,0,0,0
53,Awesome Android,Awesome Android,Marvel,0,0,0,0
54,Azazel,Azazel (Marvel Comics),Marvel,0,1,0,1
55,Azzuri,Azzuri (comics),Marvel,0,0,0,0
56,Bruce Banner,Bruce Banner,Marvel,0,0,0,0
57,Rebecca Banner,Rebecca Banner,Marvel,0,0,0,0
58,Brian Banner,Brian Banner,Marvel,0,1,0,1
59,Baron Blood,Baron Blood,Marvel,0,1,0,1
60,Baron Brimstone,Baron Brimstone,Marvel,0,1,0,1
61,Baron Mordo,Baron Mordo,Marvel,0,0,0,0
62,Baron Zemo,Baron Zemo,Marvel,0,1,0,1
63,Barracuda,Barracuda (comics),Marvel,0,0,0,1
64,Barrage,Dark Riders (comics),Marvel,0,0,0,0
65,Turk Barrett,Turk Barrett,Marvel,0,0,0,0
66,Breeze Barton,Breeze Barton,Marvel,0,1,1,0
67,Bast,Bast (Marvel Comics),Marvel,0,0,0,0
68,Bastion,Bastion (comics),Marvel,0,1,0,1
69,Batroc the Leaper,Batroc the Leaper,Marvel,0,1,0,1
70,Battlestar,Battlestar (comics),Marvel,0,1,1,0
71,Batwing,Batwing (Marvel Comics),Marvel,0,0,0,0
72,Baymax,Baymax,Marvel,0,0,0,0
73,Beast,Beast (comics),Marvel,0,1,1,0
74,Beautiful Dreamer,Beautiful Dreamer (Marvel Comics),Marvel,0,0,0,0
75,Bedlam,Bedlam (comics),Marvel,0,0,0,1
76,Beef,Beef (comics),Marvel,0,0,0,0
77,Beetle,Beetle (comics),Marvel,0,1,0,1
78,Bela,Bela (comics),Marvel,0,0,0,0
79,Belasco,Belasco (Marvel Comics),Marvel,0,1,0,1
80,Bella Donna,Bella Donna (comics),Marvel,0,0,0,0
81,Bengal,Bengal (comics),Marvel,0,1,0,1
82,Dexter Bennett,Dexter Bennett,Marvel,0,0,0,0
83,Bereet,Bereet,Marvel,0,0,0,0
84,Berzerker,Berzerker (comics),Marvel,0,0,0,0
85,Beta Ray Bill,Beta Ray Bill,Marvel,0,1,1,0
86,Beyonder,Beyonder,Marvel,0,1,1,0
87,Bi-Beast,Bi-Beast,Marvel,0,0,0,0
88,Big Bertha,Big Bertha (comics),Marvel,0,0,0,0
89,Big Man,Big Man (comics),Marvel,0,1,0,1
90,Big Wheel,Big Wheel (comics),Marvel,0,0,0,0
91,Bird-Brain,Bird-Brain (Marvel Comics),Marvel,0,0,1,0
92,Bird-Man,Bird-Man,Marvel,0,1,0,1
93,Bishop,Bishop (Marvel Comics),Marvel,0,1,1,0
94,Bison,Bison (comics),Marvel,0,0,0,0
95,Black Ant,Eric O'Grady#Black Ant,Marvel,0,0,0,0
96,Black Bolt,Black Bolt,Marvel,0,1,1,0
97,Black Box,Black Box (comics),Marvel,0,0,0,0
98,Black Cat,Black Cat (Marvel Comics),Marvel,1,0,1,0
99,Black Crow,Black Crow (comics),Marvel,0,0,0,0
100,Black Fox,Black Fox (Raul Chalmers),Marvel,0,0,0,0
101,"""Black"" Jack Tarr",Black Jack Tarr,Marvel,0,0,0,0
102,Black Knight,Black Knight (comics),Marvel,0,0,0,0
103,Black Mamba,Black Mamba (comics),Marvel,1,0,0,1
104,Black Marvel,Black Marvel,Marvel,0,1,1,0
105,Black Panther,Black Panther (character)|T'Challa (Marvel Cinematic Universe),Marvel,0,1,1,0
106,Black Racer,Black Racer (Marvel Comics),Marvel,0,0,0,0
107,Black Rider,Black Rider (comics),Marvel,0,0,0,0
108,Black Spectre,Black Spectre (Carson Knowles),Marvel,0,0,0,0
109,Black Swan,Black Swan (comics),Marvel,0,0,0,0
110,Black Talon,Black Talon (comics),Marvel,0,0,0,0
111,Black Tarantula,Black Tarantula,Marvel,0,1,0,1
112,Black Tom Cassidy,Black Tom Cassidy,Marvel,0,1,0,1
113,Black Widow,Black Widow (Marvel Comics),Marvel,1,0,1,0
114,Blackheart,Blackheart,Marvel,0,0,0,0
115,Blacklash,Whiplash (Mark Scarlotti),Marvel,0,0,0,0
116,Blacklight,Blacklight (MC2),Marvel,0,0,0,0
117,Blackout,Blackout (Marcus Daniels),Marvel,0,1,0,1
118,Blackwing,Blackwing (character),Marvel,0,1,0,1
119,Blade,Blade (character),Marvel,0,1,1,0
120,Donald Blake,Thor (Marvel Comics),Marvel,0,1,1,0
121,Blank,Blank (comics),Marvel,0,0,0,0
122,Blastaar,Blastaar,Marvel,0,0,0,0
123,Siena Blaze,Siena Blaze,Marvel,1,0,0,1
124,Blazing Skull,Blazing Skull,Marvel,0,1,1,0
125,Blindfold,Blindfold (comics),Marvel,0,0,0,0
126,Blindspot,Blindspot (comics),Marvel,0,0,0,0
127,Bling!,Bling!,Marvel,1,0,1,0
128,Blink,Blink (comics),Marvel,1,0,1,0
129,Bliss,Bliss (Marvel Comics),Marvel,0,0,0,0
130,Blizzard,Blizzard (Marvel Comics),Marvel,0,1,0,1
131,Blob,Blob (comics),Marvel,0,1,0,1
132,Blockbuster,Blockbuster (Marauder),Marvel,0,0,0,0
133,Blonde Phantom,Blonde Phantom,Marvel,0,0,0,0
134,Blood Brothers,Blood Brothers (comics),Marvel,0,0,0,0
135,Bloodaxe,Bloodaxe (comics),Marvel,1,0,0,1
136,Bloodhawk,Bloodhawk,Marvel,0,1,1,0
137,Bloodscream,Bloodscream,Marvel,0,0,0,0
138,Bloodshed,Bloodshed (comics),Marvel,0,0,0,0
139,Cullen Bloodstone,Cullen Bloodstone,Marvel,0,0,0,0
140,Elsa Bloodstone,Elsa Bloodstone,Marvel,0,0,0,0
141,Ulysses Bloodstone,Ulysses Bloodstone,Marvel,0,0,0,0
142,Bloodstrike,Bloodstrike (Marvel Comics),Marvel,0,1,0,1
143,Blue Diamond,Blue Diamond (comics),Marvel,0,0,0,0
144,Blue Eagle,Blue Eagle (comics),Marvel,0,0,0,0
145,Blue Marvel,Blue Marvel,Marvel,0,0,0,0
146,Blue Shield,Blue Shield (comics),Marvel,0,0,0,0
147,Blue Streak/Bluestreak,Blue Streak (comics),Marvel,0,0,0,0
148,"Bob, Agent of HYDRA","Bob, Agent of HYDRA",Marvel,0,0,0,0
149,Elias Bogan,Elias Bogan,Marvel,0,0,0,0
150,Bolt,Chris Bradley,Marvel,0,1,1,0
151,Bonebreaker,Bonebreaker,Marvel,0,0,0,0
152,Alexander Bont,Alexander Bont,Marvel,0,0,0,0
153,Boom-Boom,Tabitha Smith,Marvel,1,0,1,0
154,Boomerang,Boomerang (comics),Marvel,0,0,0,0
155,Bova,Bova (comics),Marvel,0,0,0,0
156,Box,Box (comics),Marvel,0,1,0,1
157,Jamie Braddock,Jamie Braddock,Marvel,0,0,0,0
158,Isaiah Bradley,Isaiah Bradley,Marvel,0,0,0,0
159,Brain Drain,Brain Drain (comics),Marvel,0,0,0,0
160,Brainchild,Brainchild (comics),Marvel,0,0,0,0
161,Abigail Brand,Abigail Brand,Marvel,0,0,0,0
162,Betty Brant,Betty Brant,Marvel,0,0,0,0
163,G. W. Bridge,G. W. Bridge,Marvel,0,0,1,0
164,Brimstone Love,Brimstone Love,Marvel,0,0,1,0
165,Brother Tode,Brother Tode,Marvel,0,0,0,0
166,Brother Voodoo,Brother Voodoo,Marvel,0,1,1,0
167,Brothers Grimm,Brothers Grimm (comics),Marvel,0,0,0,0
168,Bruiser,Molly Hayes,Marvel,1,0,1,0
169,Brute,Brute (Reed Richards),Marvel,0,1,0,1
170,Bucky,Bucky (Marvel Comics),Marvel,0,0,0,0
171,Paul Budiansky,Paul Budiansky,Marvel,0,0,0,0
172,Bug,Bug (comics),Marvel,0,1,1,0
173,Bulldozer,Bulldozer (comics),Marvel,0,0,0,0
174,Bullseye,Bullseye (comics),Marvel,0,1,0,1
175,Bulwark,Bulwark (comics),Marvel,0,0,0,0
176,Nathaniel Bumpo,Nathaniel Bumpo,Marvel,0,0,0,0
177,Burglar,Burglar (comics),Marvel,0,0,0,0
178,Burner,Burner (comics),Marvel,0,0,0,0
179,Bushman,Bushman (comics),Marvel,0,0,0,1
180,Bushmaster,Bushmaster (Marvel Comics),Marvel,0,0,0,1
181,Bushwacker,Bushwacker (comics),Marvel,0,1,0,1
182,Butterfly,Layla Miller,Marvel,0,0,0,0
183,Buzz,Buzz (Marvel Comics),Marvel,0,0,0,0
184,Byrrah,Byrrah,Marvel,0,0,0,0
185,Tatiana Caban,Tatiana Caban,Marvel,0,0,0,0
186,Bethany Cabe,Bethany Cabe,Marvel,0,0,0,0
187,Cable,Cable (comics),Marvel,0,1,1,0
188,Luke Cage,Luke Cage,Marvel,0,1,1,0
189,Caiman,Caiman (comics),Marvel,0,0,0,0
190,Caliban,Caliban (comics),Marvel,0,0,0,0
191,Callisto,Callisto (comics),Marvel,1,0,0,1
192,Calypso,Calypso (comics),Marvel,0,0,0,0
193,Cammi,Cammi (comics),Marvel,0,0,0,0
194,Cancer,Cancer (comics),Marvel,0,0,0,0
195,Candra,Candra (comics),Marvel,0,0,0,0
196,Cannonball,Cannonball (comics),Marvel,0,1,1,0
197,Capricorn,Capricorn (comics),Marvel,0,0,0,0
198,Captain,Captain (comics),Marvel,0,0,0,0
199,Captain America,Captain America|Captain America (Ultimate Marvel character)|Steve Rogers (Marvel Cinematic Universe),Marvel,0,1,1,0
200,Captain Atlas,Captain Atlas,Marvel,0,1,0,1
201,Captain Britain,Captain Britain,Marvel,0,1,1,0
202,Captain Fate,Captain Fate,Marvel,0,0,0,0
203,Captain Marvel,Captain Marvel (Marvel Comics),Marvel,1,0,1,0
204,Captain Midlands,Captain Midlands,Marvel,0,0,0,0
205,Captain Savage,Captain Savage,Marvel,0,0,0,0
206,Captain Spider,Flash Thompson,Marvel,0,1,1,0
207,Captain UK,Captain Britain Corps#Known current members,Marvel,0,0,0,0
208,Captain Ultra,Captain Ultra,Marvel,0,0,0,0
209,Captain Universe,Captain Universe,Marvel,1,0,1,0
210,Captain Wonder,Captain Wonder (Timely Comics),Marvel,0,1,1,0
211,Cardiac,Cardiac (comics),Marvel,0,0,0,1
212,Cardinal,Cardinal (comics),Marvel,0,1,0,1
213,Caretaker,Caretaker (comics),Marvel,0,0,0,0
214,Carnage,Carnage (character),Marvel,0,1,0,1
215,Carnivore,Carnivore (comics),Marvel,0,0,0,0
216,Carrion,Carrion (comics),Marvel,0,1,0,1
217,Peggy Carter,Peggy Carter,Marvel,0,0,0,0
218,Sharon Carter,Sharon Carter,Marvel,0,0,0,0
219,Tyrone Cash,Tyrone Cash,Marvel,0,0,0,0
220,Catseye,Catseye (comics),Marvel,0,0,0,0
221,Cell,Cell (comics),Marvel,0,0,0,0
222,Centurious,Centurious,Marvel,0,1,0,1
223,Centurius,Centurius,Marvel,0,1,0,1
224,Cerebra,Cerebra,Marvel,1,0,1,0
225,Cerise,Cerise (comics),Marvel,0,0,0,0
226,Challenger,Challenger (comics),Marvel,0,0,0,0
227,Chamber,Chamber (comics),Marvel,0,1,1,0
228,Chameleon,Chameleon (comics),Marvel,0,1,0,1
229,Champion of the Universe,Champion of the Universe,Marvel,0,0,0,0
230,Marlo Chandler,Marlo Chandler,Marvel,0,0,0,0
231,Robin Chapel,Damage Control (comics)#Employees,Marvel,0,0,0,0
232,Charcoal,Charcoal (comics),Marvel,0,0,0,0
233,Charlie-27,Charlie-27,Marvel,0,0,0,0
234,Charon,Charon (Marvel Comics),Marvel,0,0,0,0
235,Chemistro,Chemistro,Marvel,0,1,0,1
236,Zhou Cheng,Zhou Cheng,Marvel,0,0,0,0
237,Cheshire Cat,Cheshire Cat (comics),Marvel,0,0,0,0
238,Amadeus Cho,Amadeus Cho,Marvel,0,1,1,0
239,Ch'od,Ch'od,Marvel,0,0,0,0
240,Chondu the Mystic,Chondu the Mystic,Marvel,0,1,0,1
241,Andrew Chord,Andrew Chord,Marvel,0,0,0,0
242,Chronomancer,Trevor Fitzroy,Marvel,0,1,0,1
243,Cipher,Cipher (comics),Marvel,0,0,0,0
244,Citizen V,Citizen V,Marvel,0,1,1,0
245,Clea,Clea,Marvel,1,0,1,0
246,Albert Cleary,Damage Control#Employees,Marvel,0,0,0,0
247,Cloak,Cloak and Dagger (comics),Marvel,0,1,1,0
248,Cloud 9,Cloud 9 (comics),Marvel,0,0,0,0
249,Coachwhip,Coachwhip (comics),Marvel,0,0,0,0
250,Coal Tiger,Coal Tiger,Marvel,0,0,1,0
251,Cobalt Man,Cobalt Man,Marvel,0,0,0,0
252,Cobra,Cobra (Marvel Comics),Marvel,0,0,0,0
253,Malcolm Colcord,Malcolm Colcord,Marvel,0,0,0,0
254,Coldblood,Coldblood,Marvel,0,0,0,0
255,Collective Man,Collective Man,Marvel,0,1,1,0
256,Collector,Collector (comics),Marvel,0,0,0,0
257,Rusty Collins,Rusty Collins,Marvel,0,0,0,0
258,Colonel,Ultimate Red Guardian,Marvel,0,0,0,0
259,Colossus,Colossus (comics),Marvel,0,1,1,0
260,Comanche,Comanche (comics),Marvel,0,1,0,1
261,Comet Man,Comet Man,Marvel,0,0,0,0
262,Commander Kraken,Commander Kraken,Marvel,0,1,0,1
263,Conan,Conan (Marvel Comics),Marvel,0,0,0,0
264,Condor,Condor (comics),Marvel,0,1,0,1
265,Billy Connors,Billy Connors (comics),Marvel,0,0,0,0
266,Martha Connors,Martha Connors,Marvel,0,0,0,0
267,Conquest,Conquest (comics),Marvel,0,0,0,0
268,Constrictor,Constrictor (comics),Marvel,0,0,0,0
269,Contemplator,Contemplator (Marvel Comics),Marvel,0,0,0,0
270,Controller,Controller (Marvel Comics),Marvel,0,1,0,1
271,Jen Cooke,Jen Cooke,Marvel,0,0,0,0
272,Finn Cooley,Finn Cooley,Marvel,0,0,0,0
273,Carlie Cooper,Carlie Cooper,Marvel,0,0,0,0
274,Valerie Cooper,Valerie Cooper,Marvel,0,0,0,0
275,Copperhead,Copperhead (Marvel Comics),Marvel,0,0,0,0
276,Anya Corazon,Anya Corazon,Marvel,1,0,1,0
277,Peter Corbeau,Peter Corbeau,Marvel,0,0,0,0
278,Edwin Cord,Edwin Cord,Marvel,0,0,0,0
279,Abraham Cornelius,Abraham Cornelius,Marvel,0,0,0,0
280,Archie Corrigan,Archie Corrigan,Marvel,0,0,0,0
281,Corruptor,Corruptor (comics),Marvel,0,1,0,1
282,Corsair,Corsair (comics),Marvel,0,1,1,0
283,Tom Corsi,Tom Corsi,Marvel,0,0,0,0
284,Fabian Cortez,Fabian Cortez,Marvel,0,1,0,1
285,Cosmo the Spacedog,Cosmo the Spacedog,Marvel,0,0,0,0
286,Cottonmouth,Cottonmouth (Cornell Cottonmouth),Marvel,0,1,0,1
287,Phil Coulson,Phil Coulson,Marvel,0,1,0,1
288,Cowgirl,Cowgirl (comics),Marvel,0,0,0,0
289,Graydon Creed,Graydon Creed,Marvel,0,1,0,1
290,Crime Master,Crime Master,Marvel,0,1,0,1
291,Crimson Cavalier,Crimson Cavalier,Marvel,0,0,0,0
292,Crimson Commando,Crimson Commando,Marvel,0,0,0,0
293,Crimson Curse,Crimson Curse,Marvel,1,0,1,0
294,Crimson Dynamo,Crimson Dynamo,Marvel,0,1,1,0
295,Crippler,Crippler (comics),Marvel,0,0,0,0
296,Darren Cross,Darren Cross,Marvel,0,1,0,1
297,Crossbones,Crossbones (comics),Marvel,0,0,0,0
298,Crossfire,Crossfire (comics),Marvel,0,0,0,0
299,Crucible,Enclave (comics)#Crucible,Marvel,0,0,0,0
300,Crusader,Crusader (Marvel Comics),Marvel,0,1,1,0
301,Crusher,Crusher (comics),Marvel,0,1,0,1
302,Crystal,Crystal (comics),Marvel,1,0,1,0
303,Cyber,Cyber (Marvel Comics),Marvel,0,0,0,0
304,Cyclone,Cyclone (Marvel Comics),Marvel,0,1,0,1
305,Cyclops,Cyclops (Marvel Comics),Marvel,0,1,1,0
